Sample in Buffer,Sample in Window,TRIGGER,pwm_out_1[7:0],cnt_out_1[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
294,294,0,08,2f
295,295,0,08,30
296,296,0,08,31
297,297,0,08,32
298,298,0,08,33
299,299,0,08,34
300,300,0,08,35
301,301,0,08,36
302,302,0,08,37
303,303,0,08,38
304,304,0,08,39
305,305,0,08,3a
306,306,0,08,3b
307,307,0,08,3c
308,308,0,08,3d
309,309,0,08,3e
310,310,0,08,3f
311,311,0,08,40
312,312,0,08,41
313,313,0,08,42
314,314,0,08,43
315,315,0,08,44
316,316,0,08,45
317,317,0,08,46
318,318,0,08,47
319,319,0,08,48
320,320,0,08,49
321,321,0,08,4a
322,322,0,08,4b
323,323,0,08,4c
324,324,0,08,4d
325,325,0,08,4e
326,326,0,08,4f
327,327,0,08,50
328,328,0,08,51
329,329,0,08,52
330,330,0,08,53
331,331,0,08,54
332,332,0,08,55
333,333,0,08,56
334,334,0,08,57
335,335,0,08,58
336,336,0,08,59
337,337,0,08,5a
338,338,0,08,5b
339,339,0,08,5c
340,340,0,08,5d
341,341,0,08,5e
342,342,0,08,5f
343,343,0,08,60
344,344,0,08,61
345,345,0,08,62
346,346,0,08,63
347,347,0,08,64
348,348,0,08,65
349,349,0,08,66
350,350,0,08,67
351,351,0,08,68
352,352,0,08,69
353,353,0,08,6a
354,354,0,08,6b
355,355,0,08,6c
356,356,0,08,6d
357,357,0,08,6e
358,358,0,08,6f
359,359,0,08,70
360,360,0,08,71
361,361,0,08,72
362,362,0,08,73
363,363,0,08,74
364,364,0,08,75
365,365,0,08,76
366,366,0,08,77
367,367,0,08,78
368,368,0,08,79
369,369,0,08,7a
370,370,0,08,7b
371,371,0,08,7c
372,372,0,08,7d
373,373,0,08,7e
374,374,0,08,7f
375,375,0,08,80
376,376,0,08,81
377,377,0,08,82
378,378,0,08,83
379,379,0,08,84
380,380,0,08,85
381,381,0,08,86
382,382,0,08,87
383,383,0,08,88
384,384,0,08,89
385,385,0,08,8a
386,386,0,08,8b
387,387,0,08,8c
388,388,0,08,8d
389,389,0,08,8e
390,390,0,08,8f
391,391,0,08,90
392,392,0,08,91
393,393,0,08,92
394,394,0,08,93
395,395,0,08,94
396,396,0,08,95
397,397,0,08,96
398,398,0,08,97
399,399,0,08,98
400,400,0,08,99
401,401,0,00,9a
402,402,0,00,9b
403,403,0,00,9c
404,404,0,00,9d
405,405,0,00,9e
406,406,0,00,9f
407,407,0,00,a0
408,408,0,00,a1
409,409,0,00,a2
410,410,0,00,a3
411,411,0,00,a4
412,412,0,00,a5
413,413,0,00,a6
414,414,0,00,a7
415,415,0,00,a8
416,416,0,00,a9
417,417,0,00,aa
418,418,0,00,ab
419,419,0,00,ac
420,420,0,00,ad
421,421,0,00,ae
422,422,0,00,af
423,423,0,00,b0
424,424,0,00,b1
425,425,0,00,b2
426,426,0,00,b3
427,427,0,00,b4
428,428,0,00,b5
429,429,0,00,b6
430,430,0,00,b7
431,431,0,00,b8
432,432,0,00,b9
433,433,0,00,ba
434,434,0,00,bb
435,435,0,00,bc
436,436,0,00,bd
437,437,0,00,be
438,438,0,00,bf
439,439,0,00,c0
440,440,0,00,c1
441,441,0,00,c2
442,442,0,00,c3
443,443,0,00,c4
444,444,0,00,c5
445,445,0,00,c6
446,446,0,00,c7
447,447,0,00,c8
448,448,0,00,c9
449,449,0,00,ca
450,450,0,00,cb
451,451,0,00,cc
452,452,0,00,cd
453,453,0,00,ce
454,454,0,00,cf
455,455,0,00,d0
456,456,0,00,d1
457,457,0,00,d2
458,458,0,00,d3
459,459,0,00,d4
460,460,0,00,d5
461,461,0,00,d6
462,462,0,00,d7
463,463,0,00,d8
464,464,0,00,d9
465,465,0,00,da
466,466,0,00,db
467,467,0,00,dc
468,468,0,00,dd
469,469,0,00,de
470,470,0,00,df
471,471,0,00,e0
472,472,0,00,e1
473,473,0,00,e2
474,474,0,00,e3
475,475,0,00,e4
476,476,0,00,e5
477,477,0,00,e6
478,478,0,00,e7
479,479,0,00,e8
480,480,0,00,e9
481,481,0,00,ea
482,482,0,00,eb
483,483,0,00,ec
484,484,0,00,ed
485,485,0,00,ee
486,486,0,00,ef
487,487,0,00,f0
488,488,0,00,f1
489,489,0,00,f2
490,490,0,00,f3
491,491,0,00,f4
492,492,0,00,f5
493,493,0,00,f6
494,494,0,00,f7
495,495,0,00,f8
496,496,0,00,f9
497,497,0,00,fa
498,498,0,00,fb
499,499,0,00,fc
500,500,0,00,fd
501,501,0,00,fe
502,502,0,00,00
503,503,0,08,01
504,504,0,08,02
505,505,0,08,03
506,506,0,08,04
507,507,0,08,05
508,508,0,08,06
509,509,0,08,07
510,510,0,08,08
511,511,0,08,09
512,512,1,08,0a
513,513,0,08,0b
514,514,0,08,0c
515,515,0,08,0d
516,516,0,08,0e
517,517,0,08,0f
518,518,0,08,10
519,519,0,08,11
520,520,0,08,12
521,521,0,08,13
522,522,0,08,14
523,523,0,08,15
524,524,0,08,16
525,525,0,08,17
526,526,0,08,18
527,527,0,08,19
528,528,0,08,1a
529,529,0,08,1b
530,530,0,08,1c
531,531,0,08,1d
532,532,0,08,1e
533,533,0,08,1f
534,534,0,08,20
535,535,0,08,21
536,536,0,08,22
537,537,0,08,23
538,538,0,08,24
539,539,0,08,25
540,540,0,08,26
541,541,0,08,27
542,542,0,08,28
543,543,0,08,29
544,544,0,08,2a
545,545,0,08,2b
546,546,0,08,2c
547,547,0,08,2d
548,548,0,08,2e
549,549,0,08,2f
550,550,0,08,30
551,551,0,08,31
552,552,0,08,32
553,553,0,08,33
554,554,0,08,34
555,555,0,08,35
556,556,0,08,36
557,557,0,08,37
558,558,0,08,38
559,559,0,08,39
560,560,0,08,3a
561,561,0,08,3b
562,562,0,08,3c
563,563,0,08,3d
564,564,0,08,3e
565,565,0,08,3f
566,566,0,08,40
567,567,0,08,41
568,568,0,08,42
569,569,0,08,43
570,570,0,08,44
571,571,0,08,45
572,572,0,08,46
573,573,0,08,47
574,574,0,08,48
575,575,0,08,49
576,576,0,08,4a
577,577,0,08,4b
578,578,0,08,4c
579,579,0,08,4d
580,580,0,08,4e
581,581,0,08,4f
582,582,0,08,50
583,583,0,08,51
584,584,0,08,52
585,585,0,08,53
586,586,0,08,54
587,587,0,08,55
588,588,0,08,56
589,589,0,08,57
590,590,0,08,58
591,591,0,08,59
592,592,0,08,5a
593,593,0,08,5b
594,594,0,08,5c
595,595,0,08,5d
596,596,0,08,5e
597,597,0,08,5f
598,598,0,08,60
599,599,0,08,61
600,600,0,08,62
601,601,0,08,63
602,602,0,08,64
603,603,0,08,65
604,604,0,08,66
605,605,0,08,67
606,606,0,08,68
607,607,0,08,69
608,608,0,08,6a
609,609,0,08,6b
610,610,0,08,6c
611,611,0,08,6d
612,612,0,08,6e
613,613,0,08,6f
614,614,0,08,70
615,615,0,08,71
616,616,0,08,72
617,617,0,08,73
618,618,0,08,74
619,619,0,08,75
620,620,0,08,76
621,621,0,08,77
622,622,0,08,78
623,623,0,08,79
624,624,0,08,7a
625,625,0,08,7b
626,626,0,08,7c
627,627,0,08,7d
628,628,0,08,7e
629,629,0,08,7f
630,630,0,08,80
631,631,0,08,81
632,632,0,08,82
633,633,0,08,83
634,634,0,08,84
635,635,0,08,85
636,636,0,08,86
637,637,0,08,87
638,638,0,08,88
639,639,0,08,89
640,640,0,08,8a
641,641,0,08,8b
642,642,0,08,8c
643,643,0,08,8d
644,644,0,08,8e
645,645,0,08,8f
646,646,0,08,90
647,647,0,08,91
648,648,0,08,92
649,649,0,08,93
650,650,0,08,94
651,651,0,08,95
652,652,0,08,96
653,653,0,08,97
654,654,0,08,98
655,655,0,08,99
656,656,0,00,9a
657,657,0,00,9b
658,658,0,00,9c
659,659,0,00,9d
660,660,0,00,9e
661,661,0,00,9f
662,662,0,00,a0
663,663,0,00,a1
664,664,0,00,a2
665,665,0,00,a3
666,666,0,00,a4
667,667,0,00,a5
668,668,0,00,a6
669,669,0,00,a7
670,670,0,00,a8
671,671,0,00,a9
672,672,0,00,aa
673,673,0,00,ab
674,674,0,00,ac
675,675,0,00,ad
676,676,0,00,ae
677,677,0,00,af
678,678,0,00,b0
679,679,0,00,b1
680,680,0,00,b2
681,681,0,00,b3
682,682,0,00,b4
683,683,0,00,b5
684,684,0,00,b6
685,685,0,00,b7
686,686,0,00,b8
687,687,0,00,b9
688,688,0,00,ba
689,689,0,00,bb
690,690,0,00,bc
691,691,0,00,bd
692,692,0,00,be
693,693,0,00,bf
694,694,0,00,c0
695,695,0,00,c1
696,696,0,00,c2
697,697,0,00,c3
698,698,0,00,c4
699,699,0,00,c5
700,700,0,00,c6
701,701,0,00,c7
